Depthm,T_degC,Salnty
125,8.6,33.533
127,8.56,33.55
150,8.32,33.746
164,8.18,33.84
200,7.71,33.863
242,7.16,33.89
250,7.08,33.893
300,6.61,33.91
329,6.38,33.75
400,5.79,33.955
492,5.14,34.0
500,5.1,34.01
600,4.65,34.128
700,4.31,34.245
739,4.21,34.29
800,4.07,34.309
900,3.83,34.34
1000,3.59,34.372
1085,3.39,34.4
0,10.5,32.75
8,10.52,32.75
10,10.51,32.748
19,10.48,32.74
20,10.47,32.74
30,10.34,32.737
37,10.2,
50,9.85,32.738
55,9.7,32.74
71,9.29,32.74
75,9.2,32.791
100,9.35,33.42
125,8.28,33.565
128,8.24,33.62
150,7.95,33.724
191,7.5,33.78
200,7.42,33.807
250,6.98,33.938
255,6.94,33.95
300,6.54,33.988
380,5.86,34.0
400,5.77,34.012
500,5.3,34.075
600,4.83,34.141
700,4.36,34.211
755,4.1,34.25
0,11.6,32.88
9,11.69,32.86
10,11.69,32.86
20,11.66,32.86
23,11.64,32.86
30,11.64,32.863
47,11.64,32.88
50,11.61,32.882
71,11.36,32.9
75,11.18,32.927
94,10.2,33.1
100,9.9,33.165
125,8.83,33.425
141,8.29,33.58
150,8.11,33.638
187,7.65,33.8
200,7.5,33.833
250,6.98,33.916
279,6.72,33.93
300,6.54,33.944
377,5.96,33.98
400,5.78,33.996
500,5.09,34.073
568,4.68,34.13
600,4.54,34.154
700,4.17,34.225
800,3.88,34.286
846,3.78,34.31
900,3.67,34.321
1000,3.48,34.342
1100,3.28,34.363
1200,3.08,34.385
1300,2.88,34.408
1352,2.78,34.42
0,12.5,33.17
8,12.66,33.24
10,12.66,33.212
20,12.64,33.057
21,12.64,33.04
30,12.64,33.068
43,12.64,33.17
50,12.64,33.159
65,12.63,33.13
75,12.64,33.158
87,12.66,33.22
100,12.52,33.283
125,11.94,33.383
130,11.77,33.4
150,10.84,33.42
172,9.73,33.44
200,8.9,33.518
250,7.75,33.672
254,8.16,33.86
300,7.03,33.828
341,6.76,33.95
400,6.07,33.932
500,5.21,33.942
514,5.12,33.8
600,4.71,33.996
700,4.38,34.086
747,4.28,34.14
800,4.14,34.166
900,3.89,34.217
1000,3.63,34.268
1100,3.37,34.32
1200,3.11,34.374
1212,3.08,34.38
0,12.2,33.13
7,12.22,32.92
10,12.22,32.9
19,12.23,32.84
20,12.23,32.842
30,12.23,32.858
37,12.23,
50,12.21,32.891
55,12.2,32.9
74,12.24,33.04
75,12.25,33.042
100,12.49,33.096
111,12.6,33.12
125,11.74,33.164
150,9.91,33.293
151,9.83,33.3
200,8.3,33.66
217,8.06,33.77
250,7.61,33.874
291,7.21,33.93
300,7.1,33.934
400,5.93,33.934
443,5.49,33.91
500,5.13,33.936
600,4.67,33.993
681,4.44,34.05
700,4.39,34.061
800,4.11,34.12
900,3.84,34.179
1000,3.56,34.24
1016,3.52,34.25
0,12.0,32.97
9,8.86,32.94
10,12.0,32.94
20,11.99,32.94
22,11.99,32.94
30,11.99,32.963
44,12.0,33.01
50,11.95,33.0
67,11.7,32.95
75,11.57,32.983
90,11.2,33.08
100,10.67,33.15
125,9.36,33.356
134,8.88,33.44
150,8.56,33.585
174,8.31,33.78
200,7.98,33.806
246,,33.95
250,7.38,33.952
300,6.86,33.946
319,6.68,33.98
400,5.94,33.98
479,5.34,33.98
500,5.22,33.996
600,4.73,34.082
700,4.37,34.18
719,4.32,34.2
800,4.11,34.229
900,3.84,34.266
1000,3.58,34.304
1100,3.32,34.343
1144,3.2,34.36
0,11.7,32.88
8,11.62,32.84
10,11.61,32.84
19,11.58,32.84
20,11.58,32.838
30,11.58,32.821
39,11.58,32.81
50,11.56,32.847
59,11.54,32.88
75,11.31,32.827
79,11.23,32.81
100,10.82,32.936
120,10.36,33.12
125,10.21,33.147
150,9.49,33.284
162,9.16,33.35
200,8.71,33.665
240,8.49,33.95
250,8.39,33.951
300,7.91,33.957
326,7.66,33.96
400,6.99,34.03
491,6.24,34.13
500,6.17,34.134
600,5.48,34.166
700,4.89,34.18
734,4.72,34.18
800,4.53,34.198
900,4.23,34.226
1000,3.94,34.255
1100,3.65,34.285
1178,3.42,34.31
0,11.5,32.77
8,11.5,32.84
10,11.5,32.843
20,11.5,32.858
21,11.5,32.86
30,11.52,32.81
41,11.53,32.75
50,11.49,32.769
62,11.42,32.83
75,11.4,32.908
82,11.37,32.95
100,11.13,32.983
123,10.63,33.04
125,10.56,33.058
150,9.73,33.302
167,9.17,33.49
200,8.66,33.706
247,8.28,33.89
250,8.25,33.898
300,7.78,33.994
327,7.55,34.02
400,6.93,34.089
481,6.3,34.13
500,6.16,34.131
600,5.48,34.13
700,4.9,34.131
720,4.8,34.13
800,4.55,34.187
900,4.24,34.258
1000,3.93,34.332
1100,3.63,34.406
1118,3.57,34.42
0,11.4,32.95
9,11.38,32.9
10,11.38,32.896
20,11.39,32.864
22,11.39,32.86
30,11.39,32.86
45,11.4,32.86
50,11.35,32.846
67,11.23,32.81
75,11.35,32.866
90,11.49,33.01
100,11.07,33.087
125,9.79,33.286
135,9.19,33.37
150,8.87,33.495
176,8.56,33.69
200,8.24,33.788
250,7.61,33.936
257,7.53,33.57
300,6.93,34.005
345,6.34,34.0
400,5.87,34.05
500,5.28,34.105
519,5.2,34.11
600,4.8,34.144
700,4.39,34.179
776,4.13,34.2
800,4.07,34.207
900,3.85,34.238
1000,3.62,34.269
1100,3.39,34.301
1190,3.18,34.33
0,11.5,32.84
9,11.48,32.78
10,11.48,32.781
20,11.47,32.798
24,11.47,32.81
30,11.47,32.782
47,11.48,32.7
50,11.48,32.709
71,11.45,32.77
75,11.4,32.793
94,10.97,32.92
100,10.71,32.95
125,9.6,33.104
140,8.9,33.22
150,8.62,33.342
180,7.98,33.69
200,7.69,33.686
250,7.11,33.706
274,6.9,33.73
300,6.55,33.73
371,5.68,33.73
400,5.51,33.786
500,5.11,34.006
550,5.04,34.13
600,4.85,34.187
700,4.49,34.269
800,4.14,34.308
818,4.08,34.31
900,3.89,34.315
1000,3.65,34.321
1100,3.42,34.328
1200,3.18,34.337
1238,3.09,34.34
0,11.3,32.79
10,11.25,32.81
20,11.18,32.803
25,11.1,32.79
30,10.88,32.843
50,9.88,33.08
74,9.4,33.08
75,9.39,33.093
99,9.1,33.48
100,9.08,33.492
125,8.67,33.724
149,8.26,33.84
150,8.25,33.842
200,7.57,33.859
203,7.53,33.86
250,6.95,33.92
300,6.42,33.98
400,5.71,33.952
405,5.68,33.95
500,5.22,34.069
600,4.85,34.225
603,4.84,34.23
700,4.52,34.28
800,4.23,34.307
886,4.01,34.31
900,3.98,34.313
1000,3.76,34.332
1100,3.54,34.352
1200,3.32,34.372
1300,3.1,34.394
1327,3.04,34.4
0,10.9,33.01
10,10.77,32.92
20,10.61,33.033
24,10.53,33.1
30,10.35,33.141
49,9.77,
50,9.75,33.243
73,9.38,33.3
75,9.33,33.309
97,8.82,33.42
100,8.77,33.444
125,8.43,33.636
145,8.2,33.78
150,8.12,33.799
192,7.47,33.89
200,7.37,33.897
250,6.87,33.925
287,6.62,33.93
300,6.56,33.944
386,6.23,34.05
400,6.15,34.066
500,5.57,34.163
578,5.11,34.22
600,5.01,34.224
700,4.61,34.235
800,4.27,34.229
846,4.14,34.22
900,4.01,34.23
1000,3.76,34.25
1100,3.51,34.271
1200,3.27,34.292
1279,3.07,34.31
0,11.0,33.28
10,10.89,33.3
20,10.83,33.319
25,10.81,
30,10.8,33.345
50,10.61,33.416
51,10.6,33.42
75,9.89,33.567
77,9.82,33.58
100,9.27,33.671
103,9.21,33.68
125,8.88,33.732
150,8.61,33.789
155,8.57,33.8
200,8.19,33.985
204,8.16,34.0
250,7.66,34.0
300,7.17,34.0
304,7.13,34.0
400,6.72,34.1
408,6.7,34.11
500,6.11,34.169
600,5.43,34.217
607,5.38,34.22
700,4.9,34.269
792,4.5,34.31
800,4.48,34.311
900,4.21,34.319
1000,3.95,34.329
1100,3.69,34.339
1106,3.67,34.34
0,12.0,33.31
10,11.88,33.26
20,11.74,33.265
25,11.66,33.28
30,11.55,33.296
50,11.12,33.39
75,10.8,33.55
100,10.43,33.51
125,9.88,33.793
150,9.29,33.87
200,8.42,33.91
250,7.84,33.957
300,7.5,34.09
400,6.59,34.09
500,6.18,34.16
600,5.62,34.191
641,5.42,34.14
700,5.2,34.225
800,4.82,34.261
873,4.55,34.29
0,11.8,32.92
10,,32.84
20,11.51,32.937
24,11.46,32.94
30,11.36,32.929
48,11.06,
50,11.03,32.917
71,10.64,32.95
75,10.53,32.977
95,9.92,33.15
100,9.75,33.206
125,9.0,33.477
143,8.56,33.66
150,8.49,33.702
190,8.31,33.86
200,8.23,33.891
250,7.8,34.009
283,7.46,34.05
300,7.27,34.05
381,6.44,34.05
400,6.32,34.061
500,5.8,34.127
567,5.56,34.18
600,5.38,34.199
700,4.87,34.251
800,4.39,34.295
840,4.21,34.31
900,4.06,34.323
1000,3.82,34.345
1100,3.58,34.368
1152,3.45,34.38
0,12.5,32.95
10,12.5,33.027
17,12.44,33.08
20,12.43,33.072
28,12.3,33.04
30,12.19,33.029
42,11.45,
50,11.12,32.972
65,10.72,32.99
75,10.65,33.068
91,10.53,33.22
100,10.52,33.29
115,10.5,33.12
125,10.29,33.47
150,9.7,33.626
200,8.25,33.874
204,8.12,33.89
250,7.5,33.878
296,7.08,33.17
300,7.04,33.891
393,6.18,33.98
400,6.13,33.982
500,5.5,34.004
575,5.14,34.02
600,5.03,34.033
700,4.65,34.085
800,4.33,34.138
840,4.22,34.16
900,4.07,
1000,3.82,
1100,3.57,
1149,3.45,34.07
0,13.7,33.35
9,13.67,33.22
10,13.67,33.222
20,13.67,33.238
21,13.67,33.24
30,13.6,33.206
41,13.51,33.17
50,13.48,33.217
60,13.47,33.26
75,13.43,33.159
79,13.42,33.13
100,13.5,33.247
118,13.56,33.42
125,13.27,33.379
150,12.03,33.209
158,11.56,33.15
200,9.83,33.323
234,8.79,33.6
250,8.53,33.699
300,8.0,33.958
310,7.95,34.0
400,6.99,33.959
491,6.13,33.95
500,6.08,33.959
600,5.52,34.057
700,4.95,34.16
766,4.58,34.23
0,14.0,33.22
9,13.97,33.15
10,13.94,33.15
20,13.6,33.15
22,13.52,33.15
30,13.44,33.234
41,13.32,33.3
50,13.35,33.235
57,13.38,33.19
74,13.34,33.37
75,13.33,33.369
100,13.17,33.34
113,13.08,33.19
125,12.29,33.285
150,10.54,33.208
155,10.17,33.19
200,9.96,33.614
238,9.79,34.0
250,9.56,34.041
300,8.52,34.135
322,8.01,34.14
400,7.06,34.213
500,6.28,34.239
519,6.19,34.25
600,5.59,34.237
700,4.96,34.225
793,4.47,34.22
800,4.45,
900,4.2,
1000,3.95,
1100,3.7,
1200,3.45,
1234,3.36,
0,13.9,33.17
10,13.13,33.15
20,12.84,33.137
25,12.8,33.13
30,12.8,33.13
49,12.7,33.13
50,12.66,33.127
74,11.62,33.06
75,11.59,33.061
99,10.89,33.12
100,10.85,33.124
125,9.96,33.249
148,9.2,33.4
150,9.16,33.415
195,8.42,33.73
200,8.34,33.755
250,7.6,33.943
279,7.22,34.0
300,7.02,33.985
400,6.27,33.962
406,6.24,33.96
500,5.64,34.035
600,5.08,34.119
700,4.6,34.207
714,4.54,34.22
800,4.23,
900,3.87,
1000,3.51,
1100,3.15,
1110,3.11,33.93
0,13.9,33.08
8,13.73,33.19
10,13.67,33.19
19,13.37,33.15
20,13.36,33.15
30,13.19,33.142
37,13.0,33.13
50,12.02,33.027
54,11.69,33.01
71,10.87,33.21
75,10.72,33.222
100,9.9,33.26
107,9.72,33.26
125,9.22,33.405
143,8.78,33.57
150,8.66,33.616
200,8.01,33.847
205,7.96,33.86
250,7.42,33.925
260,7.3,33.93
300,6.76,33.953
374,5.9,34.0
391,5.77,34.02
400,5.7,
500,4.92,
593,4.19,33.86
0,13.7,33.12
9,13.26,33.15
10,13.22,33.15
20,12.86,33.15
23,12.76,33.15
30,12.46,33.179
46,11.72,33.24
50,11.54,33.229
67,10.78,33.19
75,10.41,33.217
89,9.83,33.3
100,9.53,33.394
125,9.03,33.611
134,8.92,33.69
150,8.68,33.783
181,8.31,33.91
200,8.13,33.939
250,7.71,33.939
275,7.52,33.95
300,7.25,33.963
368,6.56,33.8
400,6.35,34.015
500,5.85,34.065
552,5.67,34.09
600,5.45,34.099
700,5.03,34.121
800,4.63,34.147
842,4.48,34.16
900,4.31,34.211
1000,4.03,34.299
1100,3.74,34.388
1190,3.48,34.47
0,13.9,33.13
10,13.44,33.12
20,13.2,33.169
24,13.13,33.19
30,13.02,33.185
47,12.59,33.15
50,12.44,33.158
70,11.4,33.21
75,11.23,33.196
92,10.71,33.15
100,10.4,33.18
125,9.5,33.349
138,9.09,33.48
150,8.9,33.601
186,8.56,33.93
200,8.43,33.988
250,7.95,34.026
279,7.67,34.07
300,7.43,34.061
370,6.64,34.02
400,6.36,34.046
500,5.58,34.167
553,5.26,34.25
600,5.11,34.27
700,4.79,34.313
800,4.47,34.358
890,4.18,34.4
0,13.6,33.13
9,12.98,33.15
10,12.93,33.149
20,12.56,33.132
21,12.54,33.13
30,12.5,33.131
41,12.48,33.15
50,12.18,33.177
60,11.8,33.24
75,11.44,33.441
78,11.38,33.48
100,10.83,33.457
116,10.37,33.39
125,10.02,33.435
150,9.05,33.607
154,8.9,33.64
200,8.05,33.864
235,7.7,33.96
250,7.49,33.968
300,6.86,33.96
312,6.72,33.95
376,6.19,33.98
400,6.04,33.999
500,5.49,34.083
600,5.09,34.17
634,4.98,34.2
700,4.79,34.221
800,4.49,34.253
900,4.19,34.288
1000,3.9,34.323
1020,3.84,34.33
0,14.2,33.37
9,13.66,33.33
10,13.62,33.326
20,13.29,33.289
23,13.2,33.28
30,12.88,33.28
45,12.17,33.28
50,11.96,33.28
67,11.32,33.28
75,11.05,33.291
89,10.59,33.33
100,10.21,33.401
125,9.43,33.598
134,9.18,33.68
150,8.84,33.806
180,8.34,34.0
200,8.1,33.984
250,7.56,33.962
274,7.35,33.96
300,7.01,33.961
365,6.24,33.98
400,6.04,33.987
500,5.67,34.02
545,5.6,34.04
600,5.37,34.103
700,4.97,34.218
800,4.57,34.335
821,4.49,34.36
900,4.27,
1000,3.98,
1100,3.7,
1200,3.41,
1201,3.41,34.2
0,14.37,33.55
9,14.23,33.55
10,14.22,33.55
20,14.05,33.546
26,19.76,33.53
30,13.83,33.534
48,13.3,33.49
50,13.22,33.478
74,12.08,33.37
75,12.03,33.371
100,10.77,33.46
125,10.13,33.575
149,9.78,33.71
150,9.76,33.718
198,8.99,34.09
200,8.96,34.09
250,8.33,34.09
298,7.8,34.09
300,7.78,34.089
399,6.73,34.05
400,6.73,34.051
500,6.55,34.183
598,6.38,34.31
600,6.37,34.312
700,5.82,34.374
800,5.23,34.413
896,4.63,34.43
900,4.62,34.43
1000,4.3,34.419
1100,3.98,34.41
1200,3.66,34.403
1244,3.52,34.4
0,13.6,33.42
9,13.65,33.49
10,13.64,33.49
20,13.57,33.49
25,13.52,33.49
30,13.51,33.521
46,13.48,33.6
50,13.49,33.587
70,13.52,33.51
75,13.46,33.516
92,13.06,33.48
100,12.56,33.489
125,10.93,33.574
136,10.18,33.64
150,9.79,33.723
180,9.31,33.89
200,8.87,33.961
250,7.87,34.09
279,7.36,34.13
300,7.15,34.154
381,6.63,34.2
400,6.56,34.203
500,6.2,34.223
582,5.9,34.24
0,13.2,33.49
9,13.26,33.49
10,13.26,33.492
20,13.16,33.517
26,13.65,33.52
30,12.96,33.544
49,12.28,33.6
50,12.23,33.601
75,10.87,33.62
100,10.16,33.62
102,10.12,33.62
125,9.8,33.721
150,9.53,33.849
152,9.51,33.86
200,8.61,33.947
203,8.55,33.95
250,7.82,34.05
300,7.2,34.131
307,7.13,34.14
400,6.48,34.091
409,6.44,34.09
500,6.04,34.161
600,5.68,34.274
612,5.64,34.29
700,5.25,34.328
800,4.83,34.373
900,4.42,34.422
917,4.35,34.43
1000,4.11,
1100,3.83,
1200,3.54,
1263,3.36,34.65
0,13.65,33.51
8,13.71,33.49
10,13.71,33.48
20,13.68,33.433
23,13.67,33.42
30,13.69,33.427
44,13.72,33.44
50,13.55,33.436
68,12.79,33.4
75,12.42,33.368
92,11.52,33.3
100,11.16,33.291
125,10.18,33.333
139,9.74,33.4
150,9.46,33.494
184,8.76,33.8
200,8.5,33.865
250,7.8,33.977
276,7.51,33.98
300,7.19,34.011
366,6.45,34.09
400,6.39,34.154
500,6.23,34.299
532,6.18,34.33
600,5.83,34.382
700,5.26,34.431
789,4.71,34.45
800,4.67,34.448
900,4.35,34.43
1000,4.03,34.415
1100,3.71,34.401
1105,3.69,34.4
0,13.6,33.4
9,13.61,33.33
10,13.61,33.331
20,13.57,33.344
26,13.54,33.35
30,13.53,33.358
49,13.47,33.39
50,13.46,33.389
75,13.0,33.295
80,12.85,33.26
100,11.91,33.274
102,11.8,33.28
125,10.45,33.431
150,9.18,33.641
152,9.09,33.66
200,8.45,33.867
201,8.45,33.87
250,7.79,33.87
300,7.18,33.87
400,6.4,34.061
404,6.38,34.07
500,5.84,34.205
600,5.34,34.322
610,5.26,34.4
700,4.92,34.412
800,4.57,34.476
896,4.31,34.51
900,4.3,34.511
1000,4.01,34.53
1100,3.71,34.55
1200,3.42,34.572
1235,3.32,34.58
0,13.3,33.44
8,13.35,33.28
10,13.32,33.275
20,13.11,33.236
25,12.98,33.21
30,12.92,33.199
46,12.78,33.19
50,12.75,33.192
71,12.64,33.24
75,12.62,33.254
96,12.52,33.39
100,12.31,33.407
125,10.89,33.519
144,9.67,33.62
150,9.49,33.661
191,8.66,33.91
200,8.5,33.938
250,7.76,34.035
286,7.36,34.04
300,7.22,34.04
379,6.58,34.04
400,6.44,34.049
500,5.85,34.113
552,5.6,34.16
600,5.37,34.217
700,4.92,34.334
800,4.53,34.444
843,4.38,34.49
900,4.22,34.501
1000,3.93,34.522
1100,3.64,34.544
1168,3.45,34.56
0,13.89,33.42
9,13.94,33.51
10,13.94,33.507
20,13.93,33.458
25,13.92,33.42
30,13.84,33.409
48,13.48,33.35
50,13.47,33.351
75,13.07,33.31
100,11.73,33.328
101,11.67,33.33
125,10.52,33.401
150,9.55,33.51
197,8.62,33.75
200,8.57,33.757
250,7.81,33.843
296,7.27,33.86
300,7.23,33.864
397,6.49,33.96
400,6.47,33.962
500,5.9,34.02
595,5.25,34.14
600,5.39,34.08
700,4.97,34.142
800,4.62,34.207
876,4.4,34.11
900,4.33,34.273
1000,4.03,34.342
1100,3.73,34.412
1200,3.43,34.485
1207,3.41,34.49
0,14.4,33.24
9,14.23,33.42
10,14.23,33.419
20,14.21,33.407
26,14.2,33.4
30,13.97,33.37
49,12.72,33.24
50,12.7,33.239
74,12.11,33.26
75,12.04,33.259
100,10.21,33.3
125,9.3,33.546
149,8.86,33.78
150,8.84,33.78
198,8.19,33.78
200,8.16,33.784
250,7.57,33.89
300,7.05,34.02
400,6.26,34.129
402,6.25,34.13
500,5.74,34.135
600,5.34,34.14
605,5.32,34.14
700,4.87,34.248
800,4.42,34.368
898,4.02,34.49
900,4.01,34.49
1000,3.76,34.495
1100,3.51,34.5
1200,3.26,34.507
1238,3.16,34.51
0,13.4,33.28
9,13.05,33.28
10,13.0,33.276
20,12.58,33.234
26,12.36,33.21
30,12.34,33.222
49,12.24,33.26
50,12.23,33.261
75,12.06,33.28
100,11.93,33.307
101,11.92,33.31
125,10.72,33.361
150,9.31,33.49
199,8.53,33.96
200,8.52,33.964
250,7.82,34.035
300,7.24,34.109
301,7.23,34.11
400,6.41,34.14
401,6.4,34.14
500,5.89,34.199
600,5.5,34.269
602,5.49,34.27
700,5.01,34.346
800,4.55,34.415
891,4.16,34.47
900,4.14,34.47
1000,3.88,34.469
1100,3.62,34.469
1200,3.36,34.47
1227,3.29,34.47
0,13.9,33.31
9,14.02,33.31
10,14.01,33.313
20,13.88,33.338
25,13.77,33.35
30,13.68,33.343
47,13.42,33.3
50,13.41,33.298
72,13.36,33.28
75,13.37,33.269
98,13.4,33.19
100,13.38,33.195
125,13.09,33.251
146,12.84,33.3
150,12.63,33.308
194,10.13,33.46
200,9.93,33.503
250,8.64,33.851
293,8.12,34.11
300,8.03,34.107
392,7.06,34.13
400,6.99,34.133
500,6.14,34.175
587,5.54,34.22
600,5.48,34.226
700,5.0,34.274
800,4.52,34.326
862,4.22,34.36
0,14.4,33.51
9,14.43,33.66
10,14.43,33.657
20,14.42,33.586
26,14.41,33.51
30,14.4,33.51
48,14.36,33.51
50,14.33,33.499
74,13.93,33.35
75,13.92,33.353
99,13.72,33.48
100,13.71,33.478
125,13.5,33.485
148,13.31,33.49
150,13.18,33.488
196,9.91,33.53
200,9.75,33.549
250,8.32,33.796
296,7.87,34.02
300,7.82,34.032
395,6.82,34.22
400,6.77,34.22
500,5.91,34.22
594,5.26,34.22
600,5.23,34.225
700,4.74,34.314
800,4.35,34.41
878,4.13,34.49
900,4.08,34.496
1000,3.84,34.522
1100,3.61,34.55
1200,3.38,34.578
1207,3.36,34.58
0,15.6,33.86
8,15.64,33.8
10,15.63,33.796
20,15.53,33.766
24,15.48,33.75
30,15.45,33.758
46,15.41,33.8
50,15.39,33.809
70,15.3,33.84
75,15.3,33.836
94,15.28,33.82
100,15.07,33.786
125,13.88,33.643
139,12.99,33.57
150,12.31,33.561
184,10.34,33.62
200,9.79,33.676
250,8.63,33.864
276,8.36,33.96
300,8.05,34.024
369,7.42,34.16
400,7.22,34.193
500,6.68,34.26
555,6.44,34.27
600,6.14,34.292
700,5.5,34.341
800,4.88,34.388
827,4.72,34.4
900,4.48,34.425
1000,4.16,34.46
1100,3.84,34.497
1159,3.65,34.52
0,15.3,33.75
9,15.38,33.78
10,15.38,33.782
20,15.37,33.806
26,15.36,33.82
30,15.36,33.817
49,15.33,33.8
50,15.32,33.798
75,15.18,33.771
76,15.17,33.77
100,14.55,33.615
102,14.49,33.6
125,13.97,33.586
150,13.19,33.615
152,13.12,33.62
200,10.21,33.62
203,10.02,33.62
250,8.6,33.799
300,7.82,33.997
306,7.78,34.02
400,6.69,34.136
409,6.62,34.14
500,6.02,34.228
600,5.57,34.302
614,5.52,34.31
700,5.11,34.352
800,4.67,34.391
900,4.29,34.418
907,4.26,34.42
1000,4.02,34.444
1100,3.76,34.47
1200,3.5,34.497
1245,3.38,34.51
0,15.65,33.77
9,15.61,33.82
10,15.59,33.818
20,15.37,33.779
25,15.24,33.75
30,15.19,33.755
48,15.07,33.77
50,15.04,33.76
72,14.7,33.64
75,14.66,33.633
97,14.42,33.6
100,14.39,33.593
125,14.12,33.533
143,13.93,33.49
150,13.45,33.48
189,10.48,33.53
200,10.02,33.58
250,8.56,33.815
284,8.15,33.96
300,7.88,33.99
379,6.81,34.07
400,6.62,34.091
500,5.82,34.127
570,,34.16
600,5.2,34.267
700,4.77,34.334
800,4.52,34.383
851,4.47,34.4
900,4.31,34.422
1000,4.0,34.468
1100,3.68,34.515
1192,3.39,34.56
0,14.6,33.53
9,14.83,33.46
10,14.85,33.467
20,15.01,33.562
26,15.05,33.64
30,15.03,33.64
48,14.87,33.64
50,14.86,33.64
74,14.75,33.64
75,14.75,33.641
100,14.68,33.66
125,14.2,33.572
149,13.36,33.39
150,13.3,33.391
198,10.44,33.57
200,10.36,33.579
250,8.81,33.799
299,7.99,33.96
300,7.97,33.962
400,6.61,34.05
500,5.77,34.144
600,5.23,34.23
700,4.83,34.309
800,4.51,34.375
886,4.3,34.42
900,4.26,34.423
1000,3.99,34.443
1100,3.72,34.464
1200,3.44,34.486
1219,3.39,34.49
0,14.75,33.62
9,14.92,33.62
10,14.72,33.635
20,14.69,33.651
26,14.67,33.66
30,14.66,33.668
49,14.6,33.68
50,14.59,33.677
75,14.42,33.57
100,14.27,33.514
101,14.26,33.51
125,13.54,33.425
150,12.39,33.37
199,9.51,33.53
200,9.48,33.534
250,8.23,33.728
300,7.8,33.887
301,7.8,33.89
400,7.11,34.107
402,7.1,34.11
500,6.53,34.15
600,5.95,34.196
605,5.41,34.2
700,5.37,34.247
800,4.8,34.302
896,4.24,34.36
0,14.95,33.64
9,14.9,33.64
10,14.9,33.639
20,14.86,33.626
25,14.84,33.62
30,14.82,33.611
48,14.75,33.58
50,14.74,33.587
74,14.68,33.66
75,14.68,33.656
100,14.56,33.58
125,13.3,33.512
149,11.73,33.51
150,11.67,33.513
198,9.33,33.73
200,9.31,33.746
250,8.75,34.052
298,8.22,34.16
300,8.2,34.163
399,7.23,34.2
400,7.22,34.201
500,6.38,34.264
600,5.68,34.33
700,5.16,34.369
800,4.73,34.4
888,4.43,34.42
900,4.39,34.423
1000,4.09,34.451
1100,3.79,34.481
1200,3.49,34.512
1227,3.41,34.52
0,14.2,33.49
9,14.22,33.49
10,14.21,33.488
20,14.1,33.471
26,14.02,33.46
30,14.0,33.462
50,13.9,33.48
75,13.72,33.462
76,13.71,33.46
100,12.96,33.344
103,12.83,33.33
125,11.46,33.336
150,9.98,33.459
154,9.75,33.49
200,9.25,33.932
204,9.21,33.96
250,8.66,34.104
300,8.05,34.098
308,7.95,34.11
400,6.91,34.11
413,6.78,34.11
500,6.19,34.178
600,5.68,34.269
621,5.6,34.29
700,5.22,34.316
800,4.74,34.353
900,4.26,34.392
919,4.17,34.4
0,13.8,33.48
9,13.81,33.46
10,13.78,33.46
20,13.43,33.468
26,13.19,33.48
30,13.16,33.484
49,13.03,33.51
50,12.95,33.501
75,10.84,33.35
100,9.95,33.549
102,9.91,33.57
125,9.39,33.685
150,8.97,33.775
152,8.94,33.78
200,8.16,33.947
201,8.15,33.95
250,7.91,34.074
300,7.76,34.138
304,7.75,34.14
400,6.48,34.058
